dirname|dist|ra_text|dec_text|rotation_deg|fieldradius_text|name
HST_Helix|650|22h 29m 48.19s|-20° 49' 25.99"|0|20|Helix Nebula, NGC 7293
Veil|2400|20h50m38s.85|+30°45′18″.6|25.409|2.971 degrees|Veil Nebula, Cygnus Loop, NGC6992/6960
HST_Butterfly|3392|17:13:44.21|-37:06:15.94|130|2|NGC 6302, Butterfly Nebula
LittleDumbbell|2554|01h42m19s.2|+51°34′30″|89.889|0.099 degrees|M76, Little Dumbbell Nebula
RCW58|13000|11h06m17s.707|-65°30′30″.31|179.826|0.289 degrees|RCW58 (WR40's Nebula)
Carina|8500|10h43m09s.68|-59°50′50″.8|-20.563|2.654 degrees|NGC 3372, (Eta) Carina(e) Nebula
Dumbbell|1360|19h59m36s.7|+22°43′15″|181.608|18.24|Dumbbell Nebula
Sh2-54|6200|18h17m52s.60|-11°58′34″.7|92.522|70.62|Sh2-54
Swan|5500|18h20m59s.99|-16°10′09″.6|-21.070|51.5|M17, Swan Nebula, Omega Nebula
Crab|6500|05h34m32s.6|+22°01′01″|267.234|14.46|M1, Crab Nebula
Lagoon|4100|18h03m57s.8|-24°17′13″|18|54|M8, Lagoon Nebula
Trifid|4100|18h02m32s.148|-22°58′43″.73|-96|25|M20, Trifid Nebula
M16_Eagle_Nebula_wide|5600|18h 18m 48s|−13° 49′|0|70.0|M16, Eagle Nebula
Barnards_Loop|1237|05h40m47.2s|-03°01′44″|91|600|Barnard's Loop
Horsehead_Nebula|1375|05h40m48s.10|-02°34′37″|94|96|IC434, Horsehead Nebula
Orion|1237|05h35m00s.5|-05°18′25″|326.064|71.88|M42, Orion Nebula
California_Nebula|1000|04h00m03s.4|+36°27′18″|90|153|California Nebula
Cave_Nebula|2400|22h57m24s.5|+62°28′12″|87|43|Cave Nebula
Ring_Nebula|2567|18h53m34s.8|+33°01′51″|189|5|M57, Ring Nebula
LMC|163000|05h21m02s.53|-69°14′59″.9|179|292|Large Magallanic Cloud
SMC|203700|00h52m30s.7|-72°50′34″|240|240|Small Magallanic Cloud
Andromeda_Galaxy|2537000|00h42m46s.40|+41°14′08″.0|190|168|M31, Andromeda Galaxy
Sag_Astar|26673|17h 45m 40.0409s|−29° 0′ 28.118″|0|0.87|Sagittarius A* (enlarged 1,000,000x, do not enter black hole)
